date,open,high,low,close,volume,market_cap,increase_flag,percent_change
20170817,45.72,46.34,38.91,40.69,191410000,2286130000,0,-11.00174978
20170816,46.98,51.24,44.69,45.54,170273000,2349050000,0,-3.0651341
20170815,47.5,47.99,39.52,47.49,262801000,2375010000,0,-0.021052632
20170814,47.63,52.02,44.79,47.43,343705000,2381360000,0,-0.419903422
20170813,36.86,52.63,35.32,46.65,448654000,1843040000,1,26.55995659
20170812,33.16,37.37,30.45,36.61,177772000,1657810000,1,10.40410133
20170811,36.32,39.13,27.58,33.5,382070000,1815780000,0,-7.764317181
20170810,21.68,38.44,21.36,36.18,360125000,1084180000,1,66.88191882
20170809,18.34,21.94,17.46,21.75,116795000,917009000,1,18.59323882
20170808,18.73,19.34,15.59,18.27,124589000,936705000,0,-2.455953017
20170807,15.2,20.24,14.36,18.68,166514000,759959000,1,22.89473684
20170806,14.17,16.19,13.42,15.21,81450800,708471000,1,7.339449541
20170805,10.39,14.95,10.24,14.02,82680400,519506000,1,34.93743985
20170804,10.84,11.22,9.97,10.43,56285500,541832000,0,-3.782287823
20170803,8.19,10.7,8.06,10.67,49848800,409434000,1,30.28083028
20170802,7.85,8.3,7.71,8.11,17559000,392732000,1,3.312101911
20170801,7.36,8.2,6.96,7.86,18527900,368123000,1,6.793478261
20170731,7.16,7.43,7.02,7.33,10856600,358222000,1,2.374301676
20170730,7.27,7.3,6.94,7.15,9006030,363345000,0,-1.650618982
20170729,7.09,7.46,6.76,7.26,10518400,354258000,1,2.3977433
20170728,7.75,7.88,6.93,7.09,15725800,387410000,0,-8.516129032
20170727,7.22,7.94,7.13,7.72,15251100,360772000,1,6.925207756
20170726,7.33,7.59,6.58,7.17,16765600,366562000,0,-2.182810368
20170725,8.48,8.48,6.88,7.35,19480400,423876000,0,-13.3254717
20170724,8.61,8.81,8.19,8.46,21283700,430471000,0,-1.742160279
20170723,8.64,8.93,7.76,8.57,29915100,431881000,0,-0.810185185
20170722,7.39,9.12,7.31,8.62,32890800,369727000,1,16.64411367
20170721,7.24,7.97,7.03,7.42,21298000,361826000,1,2.486187845
20170720,5.89,7.47,5.89,7.21,25476100,294317000,1,22.41086587
20170719,6.04,6.23,5.65,5.88,14255500,301935000,0,-2.649006623
20170718,5.77,6.29,5.51,6.02,18101700,288470000,1,4.332755633
20170717,5.06,5.85,5.03,5.77,15013000,253054000,1,14.03162055
20170716,5.03,5.27,4.83,5.04,9498420,251399000,1,0.198807157
20170715,5.55,5.55,4.98,5.03,11294200,277400000,0,-9.369369369
20170714,6.27,6.29,5.42,5.54,12351000,313433000,0,-11.64274322
20170713,6.68,6.95,5.91,6.29,17824000,334240000,0,-5.838323353
20170712,5.31,6.69,5.07,6.63,23337300,265564000,1,24.85875706
20170711,5.93,6.11,4.83,5.4,20182900,296309000,0,-8.937605396
20170710,6.91,6.96,5.58,6.03,11395300,345719000,0,-12.73516643
20170709,7.4,7.62,6.87,6.9,10422500,370072000,0,-6.756756757
20170708,6.79,7.63,5.91,7.45,24138500,339382000,1,9.72017673
20170707,7.83,7.89,6.74,6.77,16409500,391569000,0,-13.53767561
20170706,7.98,8.34,7.69,7.84,17932500,399093000,0,-1.754385965
20170705,7.77,8.66,7.23,8.03,29368100,388453000,1,3.346203346
20170704,8.22,8.49,7.77,7.78,15781600,410831000,0,-5.352798054
20170703,8.06,8.48,7.52,8.22,28820400,402786000,1,1.985111663
20170702,7.96,8.51,6.75,8.1,47478700,397988000,1,1.75879397
20170701,8.77,9.24,7.74,7.95,33128400,438293000,0,-9.350057013
20170630,9.72,10,8.6,8.73,43355500,485988000,0,-10.18518519
20170629,8.34,10.07,7.91,9.77,77050000,416970000,1,17.14628297
20170628,6.96,8.69,6.49,8.38,72982300,347826000,1,20.40229885
20170627,5.35,7.26,5.09,6.83,71029700,267538000,1,27.6635514
20170626,5.95,6.22,4.42,5.53,27615900,297587000,0,-7.058823529
20170625,6.29,6.46,5.66,5.95,24890900,314543000,0,-5.405405405
20170624,6.87,7.11,6.25,6.3,33359500,343738000,0,-8.296943231
20170623,6.92,7.43,5.78,6.84,67033300,346025000,0,-1.156069364
20170622,10.16,10.51,6.9,6.94,115249000,507921000,0,-31.69291339
20170621,8.04,10.21,7.81,10.15,88374400,401956000,1,26.24378109
20170620,11.79,11.79,7.87,8,126661000,589390000,0,-32.14588634
20170619,5.46,11.81,5.46,11.72,281341000,273011000,1,114.6520147
20170618,3.79,5.26,3.47,5.26,61381000,189717000,1,38.78627968
20170617,2.8,4.18,2.7,3.76,82601000,139894000,1,34.28571429
20170616,1.8,2.81,1.72,2.77,45782200,90202000,1,53.88888889
20170615,1.74,1.84,1.54,1.78,9550940,86947000,1,2.298850575
20170614,1.81,1.94,1.68,1.74,10497200,90657000,0,-3.867403315
20170613,1.5,1.86,1.5,1.81,10456500,75221500,1,20.66666667
20170612,1.67,1.69,1.4,1.51,7492490,83716000,0,-9.580838323
20170611,1.69,1.73,1.52,1.67,6479410,84426000,0,-1.183431953
20170610,1.54,2.07,1.53,1.68,17295300,77129000,1,9.090909091
20170609,1.36,1.59,1.33,1.55,9728020,67874000,1,13.97058824
20170608,1.27,1.36,1.19,1.36,7118290,63677000,1,7.086614173
20170607,1.34,1.36,1.27,1.28,2994510,66929500,0,-4.47761194
20170606,1.28,1.37,1.2,1.34,5234170,63757000,1,4.6875
20170605,1.27,1.35,1.25,1.28,3876920,63267500,1,0.787401575
20170604,1.25,1.32,1.22,1.26,2572220,62425500,1,0.8
20170603,1.36,1.36,1.15,1.26,4049740,68122000,0,-7.352941176
20170602,1.25,1.4,1.18,1.35,7157890,62290500,1,8
20170601,1.03,1.3,1.01,1.24,8061920,51383000,1,20.38834951
20170531,1.02,1.08,0.966531,1.03,3001020,51167000,1,0.980392157
20170530,0.975403,1.13,0.970573,1.02,5393720,48770200,1,4.572161455
20170529,0.921727,0.974728,0.873447,0.966765,2171000,46086400,1,4.886262418
20170528,0.989557,1.07,0.814832,0.930106,5133830,49477900,0,-6.007839872
20170527,0.806824,1.03,0.598245,0.982348,7025920,40341200,1,21.75493044
20170526,1.11,1.22,0.69411,0.826549,6847940,55293000,0,-25.53612613
20170525,1.74,1.74,1.01,1.11,12458000,87149500,0,-36.20689655
20170524,0.878954,1.9,0.863444,1.76,22900400,43947700,1,100.2380102
20170523,0.721726,0.901805,0.695115,0.877157,3858760,36086300,1,21.53601228
20170522,0.682007,0.742591,0.669175,0.720486,2331300,34100400,1,5.642024202
20170521,0.665434,0.744667,0.618864,0.664141,2621930,33271700,0,-0.194309278
20170520,0.638148,0.671513,0.612225,0.665485,1476170,31907400,1,4.283802503
20170519,0.539752,0.682251,0.539752,0.63186,1884600,26987600,1,17.06487424
20170518,0.533423,0.552265,0.514519,0.539481,1201540,26671200,1,1.135684063
20170517,0.464285,0.531643,0.454101,0.531643,1328670,23214200,1,14.50789924
20170516,0.474567,0.474567,0.452551,0.463667,637204,23728400,0,-2.296830585
20170515,0.477364,0.4933,0.45415,0.470057,897219,23868200,0,-1.530697748
20170514,0.483372,0.490861,0.473253,0.477543,501693,24168600,0,-1.205903528
20170513,0.487873,0.491284,0.451528,0.484544,616908,24393600,0,-0.68234971
20170512,0.480874,0.508175,0.469682,0.487684,548028,24043700,1,1.416171388
20170511,0.504314,0.520573,0.431391,0.481077,953152,25215700,0,-4.607645237
20170510,0.44926,0.541055,0.44926,0.503894,843243,22463000,1,12.16088679
20170509,0.496131,0.501255,0.407576,0.44937,1076450,24806600,0,-9.425131669
20170508,0.5303,0.542761,0.486931,0.496572,1025750,26515000,0,-6.360173487
20170507,0.585263,0.591143,0.516306,0.535792,1249060,29263200,0,-8.452781057
20170506,0.572854,0.59035,0.537649,0.58767,1341720,28642700,1,2.586348354
20170505,0.493833,0.576426,0.470129,0.576426,2660100,24691600,1,16.72488473
20170504,0.345096,0.500403,0.334537,0.500309,2317450,17254800,1,44.97676009
20170503,0.314746,0.348589,0.309078,0.343782,758237,15737300,1,9.225216524
20170502,0.319147,0.326074,0.280153,0.314833,588824,15957400,0,-1.3517282
20170501,0.361689,0.361689,0.269563,0.318838,1142050,18084400,0,-11.84747117
20170430,0.271731,0.362409,0.268994,0.360099,1631520,13586500,1,32.52039701
20170429,0.229612,0.29057,0.221128,0.271729,960013,11480600,1,18.34268244
20170428,0.202194,0.229271,0.20142,0.229255,473689,10109700,1,13.38368102
20170427,0.184394,0.20851,0.181833,0.202092,327972,9219700,1,9.59792618
20170426,0.183475,0.188085,0.179909,0.184577,185400,9173750,1,0.600626788
20170425,0.173606,0.184094,0.166802,0.183504,241805,8680300,1,5.70141585
20170424,0.177077,0.177153,0.163354,0.173758,262706,8853850,0,-1.874325858
20170423,0.180684,0.185985,0.169937,0.17496,175678,9034200,0,-3.167961745
20170422,0.178943,0.188524,0.173304,0.183058,288119,8947150,1,2.299614961
20170421,0.184685,0.185694,0.174442,0.178122,263127,9234250,0,-3.553618323
20170420,0.189534,0.191015,0.178645,0.184725,222525,9476700,0,-2.537275634
20170419,0.180622,0.190709,0.178089,0.189408,297302,9031100,1,4.864302244
20170418,0.19191,0.192224,0.176355,0.180479,348694,9595500,0,-5.956437914
20170417,0.191583,0.192535,0.179468,0.191489,331308,9579150,0,-0.049064896
20170416,0.193672,0.19565,0.188923,0.192076,167886,9683600,0,-0.824073692
20170415,0.192991,0.194574,0.190452,0.192164,76566,9649550,0,-0.428517392
20170414,0.19154,0.19396,0.190495,0.192958,103138,9577000,1,0.740315339
20170413,0.193966,0.196013,0.190089,0.191686,147722,9698300,0,-1.175463741
20170412,0.198357,0.200199,0.191723,0.195553,192252,9917850,0,-1.413612829
20170411,0.209023,0.211772,0.189697,0.197826,257457,10451200,0,-5.356826761
20170410,0.188842,0.220733,0.186149,0.207874,208420,9442100,1,10.07826649
20170409,0.189679,0.191026,0.186312,0.188861,97362,9483950,0,-0.43125491
20170408,0.189456,0.193674,0.188398,0.190221,54654,9472800,1,0.403787687
20170407,0.187871,0.192661,0.184796,0.188531,81618,9393550,1,0.351304885
20170406,0.184767,0.190455,0.184234,0.18643,82505,9238350,1,0.900052499
20170405,0.185082,0.192548,0.182758,0.184719,102043,9254100,0,-0.196129283
20170404,0.199874,0.202591,0.181038,0.185002,148096,9993700,0,-7.440687633
