Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,increase_flag,tomorrow_percent_change
13-Jun-17,1.5,1.86,1.5,1.81,"10,456,500","75,221,500",20.66666667,"8,142,800","8,794,931","7,324,783","6,727,441",1.663333333,1.551428571,1.474,1.2727884,1,-9.580838323
12-Jun-17,1.67,1.69,1.4,1.51,"7,492,490","83,716,000",-9.580838323,"10,422,400","8,048,884","6,684,107","7,349,636",1.62,1.484285714,1.419,1.2702884,0,-1.183431953
11-Jun-17,1.69,1.73,1.52,1.67,"6,479,410","84,426,000",-1.183431953,"11,167,577","7,532,374","6,650,647","7,167,949",1.633333333,1.451428571,1.403,1.23864625,0,9.090909091
10-Jun-17,1.54,2.07,1.53,1.68,"17,295,300","77,129,000",9.090909091,"11,380,537","6,974,204","6,808,898","6,960,544",1.53,1.392857143,1.36,1.19117055,1,13.97058824
9-Jun-17,1.36,1.59,1.33,1.55,"9,728,020","67,874,000",13.97058824,"6,613,607","5,081,981","5,379,470","6,226,875",1.396666667,1.332857143,1.295,1.1403776,1,7.086614173
8-Jun-17,1.27,1.36,1.19,1.36,"7,118,290","63,677,000",7.086614173,"5,115,657","4,714,820","4,946,040","5,814,283",1.326666667,1.304285714,1.242,1.09615185,1,-4.47761194
7-Jun-17,1.34,1.36,1.27,1.28,"2,994,510","66,929,500",-4.47761194,"4,035,200","4,849,624","4,451,311","5,552,598",1.3,1.287142857,1.2026765,1.05974485,0,4.6875
6-Jun-17,1.28,1.37,1.2,1.34,"5,234,170","63,757,000",4.6875,"3,894,437","4,850,554","4,665,243","5,462,950",1.293333333,1.251428571,1.1676871,1.0227189,1,0.787401575
5-Jun-17,1.27,1.35,1.25,1.28,"3,876,920","63,267,500",0.787401575,"3,499,627","4,873,347","4,844,418","5,267,675",1.266666667,1.205714286,1.1319219,0.98230105,1,0.8
4-Jun-17,1.25,1.32,1.22,1.26,"2,572,220","62,425,500",0.8,"4,593,283","4,629,644","5,141,520","5,105,689",1.29,1.160966429,1.0865768,0.9414844,0,-7.352941176
3-Jun-17,1.36,1.36,1.15,1.26,"4,049,740","68,122,000",-7.352941176,"6,423,183","4,995,589","6,130,098","5,021,939",1.283333333,1.113838714,1.0715768,0.90198725,0,8
2-Jun-17,1.25,1.4,1.18,1.35,"7,157,890","62,290,500",8,"6,073,610","5,420,757","8,015,164","4,844,536",1.206666667,1.074174143,1.1215768,0.8628644,1,20.38834951
1-Jun-17,1.03,1.3,1.01,1.24,"8,061,920","51,383,000",20.38834951,"5,485,553","5,376,479","7,685,251","4,517,487",1.096666667,0.999395429,1.0742925,0.8195916,1,0.980392157
31-May-17,1.02,1.08,0.966531,1.03,"3,001,020","51,167,000",0.980392157,"3,521,913","6,004,490","7,112,189","4,141,793",1.005588333,0.980824,1.0223411,0.7819758,1,4.572161455
30-May-17,0.975403,1.13,0.970573,1.02,"5,393,720","48,770,200",4.572161455,"4,232,850","8,847,259","7,074,280","4,039,399",0.972290333,1.085109714,0.9857552,0.75452965,1,4.886262418
29-May-17,0.921727,0.974728,0.873447,0.966765,"2,171,000","46,086,400",4.886262418,"4,776,917","8,627,979","6,682,525","3,811,875",0.959739667,1.064703571,0.9503037,0.72872435,1,-6.007839872
28-May-17,0.989557,1.07,0.814832,0.930106,"5,133,830","49,477,900",-6.007839872,"6,335,897","8,650,879","6,653,885","3,757,148",0.913001,1.029520857,0.9168132,0.7028546,0,21.75493044
27-May-17,0.806824,1.03,0.598245,0.982348,"7,025,920","40,341,200",21.75493044,"8,777,287","8,292,036","6,260,656","3,551,744",0.972965667,0.991525857,0.8777507,0.6811779,1,-25.53612613
26-May-17,1.11,1.22,0.69411,0.826549,"6,847,940","55,293,000",-25.53612613,"14,068,780","7,499,214","5,690,931","3,262,901",1.232183,0.946259714,0.8326802,0.6588501,0,-36.20689655
25-May-17,1.74,1.74,1.01,1.11,"12,458,000","87,149,500",-36.20689655,"13,072,387","6,790,166","5,069,857","2,987,590",1.249052333,0.918447,0.796392,0.64690615,0,100.2380102
24-May-17,0.878954,1.9,0.863444,1.76,"22,900,400","43,947,700",100.2380102,"9,696,820","5,182,100","3,913,779","2,497,695",1.119214333,0.836944286,0.7323977,0.62022745,1,21.53601228
23-May-17,0.721726,0.901805,0.695115,0.877157,"3,858,760","36,086,300",21.53601228,"2,937,330","2,100,424","1,673,909","1,468,547",0.753928,0.661464714,0.604152,0.5572429,1,5.642024202
22-May-17,0.682007,0.742591,0.669175,0.720486,"2,331,300","34,100,400",5.642024202,"2,143,133","1,640,202","1,349,723","1,313,521",0.683370667,0.602394714,0.5648907,0.53057415,1,-0.194309278
21-May-17,0.665434,0.744667,0.618864,0.664141,"2,621,930","33,271,700",-0.194309278,"1,994,233","1,435,333","1,171,396","1,226,397",0.653828667,0.566619143,0.5416105,0.5102915,0,4.283802503
20-May-17,0.638148,0.671513,0.612225,0.665485,"1,476,170","31,907,400",4.283802503,"1,520,770","1,132,442","1,004,518","1,152,403",0.612275333,0.539962286,0.5233041,0.49302635,1,17.06487424
19-May-17,0.539752,0.682251,0.539752,0.63186,"1,884,600","26,987,600",17.06487424,"1,471,603","1,009,691","941,226","1,160,171",0.567661333,0.514113571,0.507145,0.47775705,1,1.135684063
18-May-17,0.533423,0.552265,0.514519,0.539481,"1,201,540","26,671,200",1.135684063,"1,055,805","818,752","860,411","1,113,942",0.511597,0.493517,0.488896,0.4597505,1,14.50789924
17-May-17,0.464285,0.531643,0.454101,0.531643,"1,328,670","23,214,200",14.50789924,"954,364","783,268","842,832","1,077,549",0.488455667,0.485173571,0.4846051,0.4442392,1,-2.296830585
16-May-17,0.474567,0.474567,0.452551,0.463667,"637,204","23,728,400",-2.296830585,"678,705","713,921","834,871","1,027,514",0.470422333,0.481209429,0.48502,0.42776165,0,-1.530697748
15-May-17,0.477364,0.4933,0.45415,0.470057,"897,219","23,868,200",-1.530697748,"671,940","776,670","905,322","1,004,924",0.477381333,0.479167,0.4974203,0.41380715,0,-1.205903528
14-May-17,0.483372,0.490861,0.473253,0.477543,"501,693","24,168,600",-1.205903528,"555,543","795,032","1,081,610","972,153",0.483257,0.482954857,0.5080572,0.3994795,0,-0.68234971
13-May-17,0.487873,0.491284,0.451528,0.484544,"616,908","24,393,600",-0.68234971,"706,029","901,799","1,263,186","960,204",0.484435,0.491276143,0.5103338,0.38429025,0,1.416171388
12-May-17,0.480874,0.508175,0.469682,0.487684,"548,028","24,043,700",1.416171388,"781,474","1,005,343","1,277,319","938,142",0.490885,0.506008429,0.4962576,0.36881105,1,-4.607645237
11-May-17,0.504314,0.520573,0.431391,0.481077,"953,152","25,215,700",-4.607645237,"957,615","1,307,068","1,281,399","925,147",0.478113667,0.518685857,0.4789725,0.35357975,0,12.16088679
10-May-17,0.44926,0.541055,0.44926,0.503894,"843,243","22,463,000",12.16088679,"981,814","1,501,968","1,300,288","890,646",0.483278667,0.521433286,0.4627486,0.338432,1,-9.425131669
9-May-17,0.496131,0.501255,0.407576,0.44937,"1,076,450","24,806,600",-9.425131669,"1,117,087","1,489,824","1,379,116","859,610",0.493911333,0.498560143,0.4483691,0.32247355,0,-6.360173487
8-May-17,0.5303,0.542761,0.486931,0.496572,"1,025,750","26,515,000",-6.360173487,"1,205,510","1,420,163","1,367,472","820,652",0.540011333,0.479340571,0.430605,0.30947545,0,-8.452781057
7-May-17,0.585263,0.591143,0.516306,0.535792,"1,249,060","29,263,200",-8.452781057,"1,750,293","1,436,777","1,312,266","786,800",0.566629333,0.45395,0.4038733,0.2936708,0,2.586348354
6-May-17,0.572854,0.59035,0.537649,0.58767,"1,341,720","28,642,700",2.586348354,"2,106,423","1,491,414","1,220,158","740,912",0.554801667,0.428851,0.3705033,0.27645565,1,16.72488473
5-May-17,0.493833,0.576426,0.470129,0.576426,"2,660,100","24,691,600",16.72488473,"1,911,929","1,436,885","1,104,526","682,220",0.473505667,0.383716571,0.330194,0.25667595,1,44.97676009
4-May-17,0.345096,0.500403,0.334537,0.500309,"2,317,450","17,254,800",44.97676009,"1,221,504","1,124,540","862,696","553,044",0.386308,0.334120714,0.2909018,0.23746285,1,9.225216524
3-May-17,0.314746,0.348589,0.309078,0.343782,"758,237","15,737,300",9.225216524,"829,704","840,329","657,222","442,328",0.325817667,0.291518286,0.2582467,0.2220953,1,-1.3517282
2-May-17,0.319147,0.326074,0.280153,0.314833,"588,824","15,957,400",-1.3517282,"1,120,798","758,495","598,966","411,802",0.331256667,0.268774714,0.2413645,0.2144905,0,-11.84747117
1-May-17,0.361689,0.361689,0.269563,0.318838,"1,142,050","18,084,400",-11.84747117,"1,244,528","708,921","568,895","391,974",0.316888667,0.250013429,0.228187,0.2085265,0,32.52039701
30-Apr-17,0.271731,0.362409,0.268994,0.360099,"1,631,520","13,586,500",32.52039701,"1,021,741","583,301","481,003","347,744",0.287027667,0.229287714,0.2141154,0.2024759,1,18.34268244
29-Apr-17,0.229612,0.29057,0.221128,0.271729,"960,013","11,480,600",18.34268244,"587,225","375,323","340,103","276,589",0.234358667,0.202839286,0.196578,0.19486465,1,13.38368102
28-Apr-17,0.202194,0.229271,0.20142,0.229255,"473,689","10,109,700",13.38368102,"329,020","279,338","273,832","233,456",0.205308,0.190172,0.1883459,0.19072125,1,9.59792618
27-Apr-17,0.184394,0.20851,0.181833,0.202092,"327,972","9,219,700",9.59792618,"251,726","249,258","261,333","212,505",0.190057667,0.182867286,0.1834683,0.18876955,1,0.600626788
26-Apr-17,0.183475,0.188085,0.179909,0.184577,"185,400","9,173,750",0.600626788,"229,970","234,194","261,666","200,187",0.180613,0.180386286,0.182408,0.1880915,1,5.70141585
25-Apr-17,0.173606,0.184094,0.166802,0.183504,"241,805","8,680,300",5.70141585,"226,730","250,180","259,915","195,042",0.177407333,0.181076429,0.1831579,0.18818415,1,-1.874325858
24-Apr-17,0.177077,0.177153,0.163354,0.173758,"262,706","8,853,850",-1.874325858,"242,168","265,450","243,391","188,054",0.177258667,0.180644286,0.1840239,0.1882449,0,-3.167961745
23-Apr-17,0.180684,0.185985,0.169937,0.17496,"175,678","9,034,200",-3.167961745,"242,308","275,250","227,434","182,324",0.178713333,0.183177286,0.1859439,0.1888071,0,2.299614961
22-Apr-17,0.178943,0.188524,0.173304,0.183058,"288,119","8,947,150",2.299614961,"257,924","274,137","224,639","178,780",0.181968333,0.185622429,0.1876165,0.19004425,1,-3.553618323
21-Apr-17,0.184685,0.185694,0.174442,0.178122,"263,127","9,234,250",-3.553618323,"260,985","243,915","215,052","169,492",0.184085,0.186923286,0.188866,0.19116535,0,-2.537275634
20-Apr-17,0.189534,0.191015,0.178645,0.184725,"222,525","9,476,700",-2.537275634,"289,507","221,060","214,485","161,836",0.184870667,0.189042714,0.1908364,0.1925101,0,4.864302244
19-Apr-17,0.180622,0.190709,0.178089,0.189408,"297,302","9,031,100",4.864302244,"325,768","210,374","213,075","165,286",0.187125333,0.190037143,0.1931513,0.1934509,1,-5.956437914
18-Apr-17,0.19191,0.192224,0.176355,0.180479,"348,694","9,595,500",-5.956437914,"282,629","195,367","193,081","175,668",0.188014667,0.190915,0.1930966,0.1945083,0,-0.049064896
17-Apr-17,0.191583,0.192535,0.179468,0.191489,"331,308","9,579,150",-0.049064896,"191,920","182,333","163,677","175,012",0.191909667,0.193393143,0.1940708,0.19610575,0,-0.824073692
16-Apr-17,0.193672,0.19565,0.188923,0.192076,"167,886","9,683,600",-0.824073692,"115,863","164,777","138,708","199,530",0.192399333,0.195733857,0.193775,0.1975629,0,-0.428517392
15-Apr-17,0.192991,0.194574,0.190452,0.192164,"76,566","9,649,550",-0.428517392,"109,142","154,702","130,169","201,214",0.192269333,0.195274571,0.1932104,0.1972804,0,0.740315339
14-Apr-17,0.19154,0.19396,0.190495,0.192958,"103,138","9,577,000",0.740315339,"147,704","151,572","132,717","199,268",0.193399,0.194997,0.1924659,0.1956914,1,-1.175463741
13-Apr-17,0.193966,0.196013,0.190089,0.191686,"147,722","9,698,300",-1.175463741,"199,144","148,498","137,213","196,493",0.195021667,0.194364571,0.1916703,0.19440875,0,-1.413612829
12-Apr-17,0.198357,0.200199,0.191723,0.195553,"192,252","9,917,850",-1.413612829,"219,376","139,181","132,921","191,716",0.200417667,0.193613714,0.192472,0.1931477,0,-5.356826761
11-Apr-17,0.209023,0.211772,0.189697,0.197826,"257,457","10,451,200",-5.356826761,"187,746","126,294","123,933","184,012",0.198187,0.192066,0.1934647,0.19169065,0,10.07826649
10-Apr-17,0.188842,0.220733,0.186149,0.207874,"208,420","9,442,100",10.07826649,"120,145","110,671","109,187","179,030",0.195652,0.190234,0.1941838,0.1904565,1,-0.43125491
9-Apr-17,0.189679,0.191026,0.186312,0.188861,"97,362","9,483,950",-0.43125491,"77,878","95,869","117,497","180,323",0.189204333,0.189066714,0.1937505,0.1883095,0,0.403787687
8-Apr-17,0.189456,0.193674,0.188398,0.190221,"54,654","9,472,800",0.403787687,"72,926","96,584","158,255","178,882",0.188394,0.191440857,0.19592,0.18656135,1,0.351304885
7-Apr-17,0.187871,0.192661,0.184796,0.188531,"81,618","9,393,550",0.351304885,"88,722","104,490","186,347","179,583",0.18656,0.193554571,0.1981407,0.1849283,1,0.900052499
