Date,Open,High,Low,Close,Volume,Market Cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change
20170617,2.8,4.18,2.7,3.76,82601000,139894000,35.7400722,45978046.67,24694248.57,20700135,12575723,2.77,2.15,1.96,1.58,2518.56,2681.711429,2713.357,2.190231196,2433.149902,2434.0271,2433.551978,0,1,39.89361702
20170616,1.8,2.81,1.72,2.77,45782200,90202000,55.61797753,21943446.67,15364862.86,12739486,8702365,2.1,1.85,1.72,1.44,2464.58,2725.318571,2747.821,-1.667351588,2433.149902,2433.829974,2433.550977,0.02836392,1,35.7400722
20170615,1.74,1.84,1.54,1.78,9550940,86947000,2.298850575,10168213.33,10214265.71,8684683,6764551,1.78,1.68,1.57,1.35,2506.37,2774.038571,2770.044,-7.752979367,2432.459961,2433.632848,2433.168994,-0.223959817,1,55.61797753
20170614,1.81,1.94,1.68,1.74,10497200,90657000,-3.867403315,9482063.33,9866744.29,8117281,6629401,1.69,1.62,1.52,1.3,2717.02,2806.294286,2770.588,2.157818945,2437.919922,2433.822859,2433.533008,-0.099583089,1,2.298850575
20170613,1.5,1.86,1.5,1.81,10456500,75221500,19.86754967,8142800,8794931.43,7324783,6727441,1.66,1.55,1.47,1.27,2659.63,2827.177143,2750.421,-10.09022653,2440.350098,2433.139998,2433.648023,0.451150514,0,-3.867403315
20170612,1.67,1.69,1.4,1.51,7492490,83716000,-9.580838323,10422400,8048884.29,6684107,7349636,1.62,1.48,1.42,1.27,2958.11,2831.06,2733.313,0.352816254,2429.389893,2431.565709,2433.52002,-0.09787632,1,19.86754967
20170611,1.69,1.73,1.52,1.67,6479410,84426000,-0.595238095,11167576.67,7532374.29,6650647,7167949,1.63,1.45,1.4,1.24,2947.71,2767.302857,2678.29,4.387688973,2431.77002,2432.52431,2434.488037,0,0,-9.580838323
20170610,1.54,2.07,1.53,1.68,17295300,77129000,8.387096774,11380536.67,6974204.29,6808898,6960544,1.53,1.39,1.36,1.19,2823.81,2705.537143,2612.16,0.648341543,2431.77002,2433.567174,2434.317041,0,0,-0.595238095
20170609,1.36,1.59,1.33,1.55,9728020,67874000,13.97058824,6613606.67,5081981.43,5379470,6226875,1.4,1.33,1.3,1.14,2805.62,2657.642857,2547.326,2.688715156,2431.77002,2434.610038,2432.320044,-0.082998902,1,8.387096774
20170608,1.27,1.36,1.19,1.36,7118290,63677000,6.25,5115656.67,4714820,4946040,5814283,1.33,1.3,1.24,1.1,2732.16,2600.822857,2492.325,-4.576697402,2433.790039,2435.652902,2430.434033,0.026720453,1,13.97058824
