date,open,high,low,close,volume,market_cap,3_day_vol_avg,7_day_vol_avg,14_day_vol_avg,20_day_vol_avg,3_day_close_avg,7_day_close_avg,14_day_close_avg,20_day_close_avg,high_minus_low,open_to_close,sp500_close,sp500_volume,sp500_increased_since_yesterday,sp500_close_increases_tomorrow,increase_flag,percent_change
17092,12,12.93,12,12.59,18864200,1020530000,9401973.333,7984442.857,9150492.857,8313289.5,12.18333333,12.05142857,12.19571429,12.5065,0.93,-0.59,2144.290039,3362670000,1,0,0,-4.53
17091,11.96,12.03,11.86,12.01,5724440,1016710000,4777853.333,6964942.857,8399355.714,7882029.5,11.98,11.93714286,12.245,12.5405,0.17,-0.05,2139.600098,3170000000,1,1,1,4.83
17090,11.98,12.01,11.93,11.95,3617280,1018540000,4314210,7691337.143,8523204.286,7937361,11.95666667,11.90142857,12.34785714,12.595,0.08,0.03,2126.5,2830390000,0,1,1,0.50
17089,11.94,12,11.78,11.98,4991840,1014280000,5996846.667,8204365.714,8556231.429,8117150.5,11.96,11.91571429,12.43714286,12.6385,0.22,-0.04,2132.97998,3228150000,1,0,0,-0.25
17088,11.99,12.07,11.9,11.94,4333510,1018390000,7564446.667,9149988.571,8651897.143,8131730.5,11.94333333,11.95,12.52214286,12.6945,0.17,0.05,2132.97998,3228150000,1,1,1,0.34
17087,11.91,12.13,11.78,11.96,8665190,1011190000,10029176.67,9807065.714,8767420.714,8406299,11.89333333,12.05428571,12.61357143,12.7415,0.35,-0.05,2132.97998,3228150000,1,1,0,-0.17
17086,11.78,12.07,11.71,11.93,9694640,1000220000,10743846.67,10289867.14,8576380.714,8431361,11.82666667,12.18142857,12.69285714,12.81,0.36,-0.15,2132.550049,3580450000,0,1,1,0.25
17085,11.76,12.16,11.75,11.79,11727700,997949000,9915126.667,10316542.86,8615263.571,9315769,11.86666667,12.34,12.78857143,12.876,0.41,-0.03,2139.179932,2977100000,1,0,1,1.19
17084,12.06,12.06,11.62,11.76,10809200,1022860000,9876293.333,9833768.571,8265504.286,10161634,12.01,12.55285714,12.88214286,12.975,0.44,0.3,2136.72998,3438270000,0,1,1,0.26
17083,12.22,12.36,11.98,12.05,7208480,1035590000,9250910,9355071.429,8008637.857,11217629,12.31333333,12.79428571,12.95785714,13.1085,0.38,0.17,2163.659912,2916550000,1,0,0,-2.41
17082,12.67,12.69,12.05,12.22,11611200,1073990000,10863016.67,8908097.143,7871135,11549145,12.58,12.95857143,13.03285714,13.1655,0.64,0.45,2153.73999,3619890000,1,1,0,-1.39
17081,12.85,12.99,12.53,12.67,8933050,1088570000,10286406.67,8153805.714,7743540.714,12090250,12.85333333,13.09428571,13.08,13.176,0.46,0.18,2153.73999,3619890000,1,1,0,-3.55
17080,13.03,13.14,12.69,12.85,12044800,1102940000,10091483.33,7727775.714,7760210.714,12015928,13.05666667,13.17285714,13.12714286,13.1775,0.45,0.18,2153.73999,3619890000,0,1,0,-1.40
17079,13.28,13.35,13.04,13.04,9881370,1124270000,8562656.667,6862894.286,8855782.143,12284763,13.25666667,13.20428571,13.15571429,13.163,0.31,0.24,2160.77002,3461550000,1,0,0,-1.46
17078,13.45,13.53,13.21,13.28,8348280,1137980000,6628753.333,6913984.286,10196041.43,12156149,13.31,13.23714286,13.20785714,13.108,0.32,0.17,2159.72998,3906550000,1,1,0,-1.81
17077,13.2,13.49,13.19,13.45,7458320,1116600000,5956380,6697240,11880385.71,12023476,13.27333333,13.21142857,13.29,13.04,0.3,-0.25,2150.48999,3750890000,0,1,0,-1.26
17076,13.18,13.3,13.14,13.2,4079660,1114200000,5453886.667,6662204.286,12336134.29,12235775,13.19666667,13.12142857,13.27142857,12.9635,0.16,-0.02,2161.199951,3137550000,0,0,1,1.89
17075,13.2,13.31,13.05,13.17,6331160,1115690000,6090876.667,6834172.857,13647108.57,12405696,13.15333333,13.10714286,13.21642857,12.898,0.26,0.03,2168.27002,4173340000,1,0,1,0.23
17074,13.08,13.34,13.02,13.22,5950840,1104530000,7393490,7333275.714,13726783.57,12528697,13.18666667,13.06571429,13.18285714,12.8215,0.32,-0.14,2168.27002,4173340000,1,1,0,-0.38
17073,13.28,13.34,13.07,13.07,5990630,1121060000,7686900,7792645.714,14546116.43,12592170,13.14666667,13.08142857,13.13571429,12.769,0.27,0.21,2168.27002,4173340000,1,1,1,1.15
