date,open,high,low,close,volume,market_cap,pcnt_change,3_day_volume_avg,7_day_volume_avg,10_day_volume_avg,20_day_volume_avg,3_day_close_avg,7_day_close_avg,10_day_close_avg,20_day_close_avg,bitcoin_close,7_day_btcn_avg,10_day_btcn_avg,btcn_pcnt_chng,sp500_close,7_day_sp500_avg,10_day_sp500_avg,sp500_pcnt_chng,increase_flag,tomorrow_percent_change,tomorrow_price
20151216,0.006689,0.006816,0.006454,0.006755,1249850,224334000,1.062238181,2863843.333,2570368.571,2698579.1,1563991.45,0.007017667,0.007893286,0.0076111,0.00605245,465.32,437.6042857,426.311,4.759331802,2073.070068,2032.537144,2041.604016,1.451496934,0,-0.903034789,0.006684
20151215,0.0076,0.0076,0.006622,0.006684,4908540,254899000,-12.214342,2911910,3206457.143,2673794.1,1521524.95,0.007692333,0.008145857,0.00747,0.00592925,444.18,430.4957143,418.674,2.404610951,2043.410034,2028.901419,2043.466003,1.06185612,1,1.062238181,0.007614
20151214,0.008774,0.00878,0.007614,0.007614,2433140,294258000,-13.27030413,1715060,2851504.286,2254564.2,1285965.75,0.008309667,0.008158857,0.0073317,0.00581095,433.75,423.5471429,410.574,-0.287356322,2021.939941,2031.784284,2048.293994,0.475555987,0,-12.214342,0.008779
20151213,0.008532,0.008867,0.008472,0.008779,1394050,286139000,2.846766635,2059176.667,2627751.571,2104260.4,1174205.75,0.008585333,0.007865429,0.0070457,0.00564235,435,417.1228571,403.304,-3.748285171,2012.369995,2039.660017,2055.268994,0,0,-13.27030413,0.008536
20151212,0.008454,0.008642,0.008123,0.008536,1317990,283513000,1.125459069,2669000,2571744.429,1978765.8,1120225.8,0.008473667,0.007374714,0.006594,0.0054178,451.94,410.5442857,395.723,8.775392317,2012.369995,2050.991437,2058.994006,0,1,2.846766635,0.008441
20151211,0.008445,0.008453,0.007793,0.008441,3465490,283239000,-0.035528186,4130493.333,2485780.286,1879807.1,1063054.1,0.008469333,0.006912571,0.0061577,0.00520435,415.48,397.8642857,386.778,-0.498132005,2012.369995,2062.322858,2065.708008,-1.942276713,1,1.125459069,0.008444
20151210,0.008527,0.009071,0.008444,0.008444,3223520,285962000,-0.926903672,3783286.667,2123582,1564498.2,898911,0.007914,0.006385857,0.0057226,0.00499455,417.56,390.0885714,382.962,0.481278275,2052.22998,2073.654279,2074.733996,0.225138698,0,-0.035528186,0.008523
20151209,0.006796,0.008905,0.006746,0.008523,5702470,227913000,25.80073801,2997737,1682951.143,1269415.7,753373.4,0.006952667,0.005788429,0.0052983,0.0047837,415.56,381.75,378.335,5.061435,2047.619995,2073.281442,2077.55199,-0.773898513,0,-0.926903672,0.006775
20151208,0.005561,0.006775,0.00556,0.006775,2423870,186501000,21.85251799,1430913.667,915227.2857,718950.9,476935.5,0.005893,0.005167,0.0048759,0.00456865,395.54,374.1685714,372.517,1.738772571,2063.590088,2077.837158,2081.801001,-0.648990143,1,25.80073801,0.00556
20151207,0.005312,0.00556,0.005297,0.00556,866871,178156000,4.041916168,861704,613588.8571,496111.9,368081.7,0.005401667,0.004783429,0.0046222,0.0044428,388.78,371.5657143,368.767,-0.043707417,2077.070068,2083.414272,2084.453003,-0.698950294,1,21.85251799,0.005344
